İl,Kaynak_URL,Tarih,Anket_Şirketi,Örneklem,AKP,CHP,İYİ,MHP,HDP,Kararsız,DEM,Fark
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,23-26 Mart,AREA,3.066,424.0,387.0,8.0,65.0,19.0,,37.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,504.0,321.0,,,175.0,,183.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.473,437.0,376.0,91.0,48.0,21.0,,61.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,9-17 Mart,ASAL,2.0,455.0,358.0,69.0,53.0,43.0,,97.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-16 Mart,Piar,2.9,504.0,375.0,47.0,52.0,22.0,,129.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.5,424.0,388.0,65.0,72.0,51.0,,36.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,11-13 Mart,Özdemir,5.289,367.0,344.0,66.0,73.0,50.0,,23.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21 Şub-3 Mar,MAK,3.55,48.0,31.0,7.0,4.0,4.0,4.0,17.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,28 Şub-3 Mar,ORC,5.4,401.0,312.0,136.0,55.0,31.0,65.0,89.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,11-14 Şubat,ALF,2.2,407.0,323.0,71.0,46.0,25.0,106.0,84.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-3 Şubat,ORC,2.65,382.0,347.0,86.0,59.0,21.0,86.0,35.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,15-19 Aralık,ALF,2.7,492.0,345.0,63.0,65.0,,35.0,147.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2023,2023,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,,581.0,387.0,,,42.0,,194.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,28 Şub-3 Mar,ORC,640.0,572.0,125.0,108.0,42.0,20.0,133.0,447.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,60.745,672.0,269.0,,,59.0,,403.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,28 Şub-3 Mar,ORC,1020.0,385.0,340.0,60.0,68.0,22.0,125.0,45.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,236.339,551.0,411.0,,,38.0,,140.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,28 Şub-3 Mar,ORC,1140.0,433.0,270.0,86.0,51.0,30.0,130.0,163.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,325.344,575.0,382.0,,,43.0,,193.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,26-28 Mart,ORC,1.8,322.0,263.0,307.0,68.0,4.0,,15.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,28 Şub-3 Mar,ORC,1.42,295.0,279.0,211.0,72.0,21.0,122.0,16.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,365.061,496.0,442.0,,,62.0,,54.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,28 Şub-3 Mar,ORC,510.0,559.0,167.0,109.0,64.0,29.0,72.0,392.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,49.386,794.0,160.0,,,46.0,,634.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,26-28 Mart,ORC,1.1,,,,,82.0,,36.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,55.331,,43.0,,,11.0,,3.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,26-28 Mart,ORC,1.14,468.0,403.0,33.0,57.0,39.0,,65.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,28 Şub-3 Mar,ORC,720.0,401.0,326.0,53.0,55.0,15.0,147.0,75.0,
İzmir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,127.879,524.0,452.0,,,24.0,,72.0,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,15-26 Mart,ADA,1.5,,,,,67.0,,14.0,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,,,,,162.0,,4.0,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,3.346,,,,,47.0,,23.0,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-16 Mart,Aksoy,2.4,,,,,31.0,,127.0,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17-23 Mart,ALF,2.7,,,,,54.0,,85.0,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,14-20 Mart,ORC,3.5,,,,,44.0,8.0,45.0,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,5-8 Mart,ASAL,1.5,,,,,71.0,,54.0,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,28 Şub-3 Mart,MAK,2.22,,,,,3.0,4.0,130.0,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Şubat,SONAR,7.597,,,,,49.0,,131.0,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,873.021,,,,,93.0,,147.0,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17-20 Mart,ALF,1.4,,,,,23.0,,19.0,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17-20 Mart,ORC,1.45,,,,,35.0,75.0,18.0,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,98.775,,,,,97.0,,21.0,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,7-8 Mart,SONAR,1.327,273.0,,,,42.0,,2.0,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,99.227,372.0,,,,29.0,,14.0,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-23 Mart,ALF,1.4,,,,,16.0,,45.0,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17-20 Mart,ORC,1.5,,,,,28.0,62.0,46.0,
Manisa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,135.063,,,,,1432.0,,2.0,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,GENAR,,392.0,416.0,117.0,23.0,52.0,,24.0,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,486.0,321.0,,,193.0,,165.0,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.901,482.0,341.0,122.0,15.0,4.0,,141.0,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2-15 Mart,ASAL,1.3,405.0,354.0,135.0,63.0,43.0,,51.0,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.5,427.0,384.0,109.0,,8.0,,43.0,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,SONAR,3.586,389.0,361.0,146.0,,104.0,,28.0,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,24 Şub-6 Mart,MAK,1.62,37.0,31.0,16.0,3.0,80.0,5.0,6.0,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,28 Şub-3 Mart,ORC,1.85,341.0,235.0,226.0,49.0,45.0,104.0,106.0,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,603.862,36.0,284.0,,,356.0,,76.0,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,29 Şubat-4 Mart,Optimar,2.0,,,8.0,19.0,1.0,,1.0,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,99.987,,,345.0,,4.0,,111.0,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,28 Şub-3 Mar,ORC,830.0,274.0,,306.0,,42.0,157.0,32.0,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,94.895,477.0,444.0,61.0,,18.0,,33.0,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,28 Şub-3 Mar,ORC,750.0,305.0,211.0,322.0,,32.0,13.0,17.0,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,54.751,446.0,347.0,197.0,,356.0,,99.0,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,28 Şub-3 Mar,ORC,1.016,367.0,292.0,131.0,,46.0,164.0,75.0,
Muğla,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,68.721,538.0,303.0,75.0,,84.0,,235.0,
Uşak,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,25-27 Mart,ORC,1.15,,,,,16.0,,17.0,
Uşak,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,14-17 Mart,ALF,1.2,,,,,13.0,97.0,14.0,
Uşak,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,10-13 Mart,Paradigma,2.703,,,,,66.0,,38.0,
Uşak,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,26-28 Şubat,ORC,1.02,,,,,46.0,101.0,16.0,
Uşak,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-4 Şubat,Üstün Danışmanlık,1.695,,,,,77.0,,11.0,
Uşak,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,130.429,,,,,22.0,,14.0,
Diyarbakır,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,1.217,,233.0,,,78.0,,403.0,
Diyarbakır,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,,199.0,,,189.0,,413.0,
Diyarbakır,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.5,,282.0,,,58.0,,316.0,
Diyarbakır,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,24 Şub-5 Mar,MAK,1.15,,29.0,,,4.0,5.0,25.0,
Diyarbakır,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,22 Şub-2 Mar,ASAL,1.415,,254.0,,,52.0,,344.0,
Diyarbakır,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,779.593,,309.0,,,62.0,,320.0,
Gaziantep,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,,,,,242.0,,202.0,
Gaziantep,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.377,,,34.0,,26.0,,263.0,
Gaziantep,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,18-21 Mart,ASAL,1.5,,,36.0,,28.0,,308.0,
Gaziantep,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.5,,,,,7.0,,351.0,
Gaziantep,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,23 Şub-5 Mar,MAK,1.36,,,5.0,,4.0,5.0,32.0,
Gaziantep,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,25-27 Ocak,ORC,1.96,,,43.0,,28.0,122.0,298.0,
Gaziantep,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,917.08,,,164.0,,35.0,,277.0,
Gaziantep,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,26-28 Mart,ORC,1.62,,,37.0,45.0,55.0,,31.0,
Gaziantep,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,334.364,,,109.0,,35.0,,277.0,
Mardin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,,213.0,,,219.0,,355.0,
Mardin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,1.307,,268.0,,,42.0,,338.0,
Mardin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.5,,391.0,,,95.0,,123.0,
Mardin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,23 Şub-6 Mar,MAK,1.08,,42.0,,,4.0,5.0,3.0,
Mardin,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,371.334,,385.0,,,24.0,,177.0,
Şanlıurfa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,,,,,337.0,,59.0,
Şanlıurfa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.776,,,,278.0,46.0,,73.0,
Şanlıurfa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,SAROS,2.328,,,,278.0,34.0,,129.0,
Şanlıurfa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,16-21 Mart,ASAL,1.5,,,,226.0,22.0,,46.0,
Şanlıurfa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.5,,,,223.0,56.0,,17.0,
Şanlıurfa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,23 Şub-6 Mart,MAK,2.42,,,,24.0,3.0,4.0,3.0,
Şanlıurfa,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,848.816,,,,,19.0,,255.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,29 Mart,BETİMAR,3.06,612.0,289.0,14.0,,8.0,,323.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,27-29 Mart,Özdemir,2.5,586.0,339.0,,,43.0,,247.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,HBS,2.1,432.0,361.0,43.0,,24.0,,71.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,26-27 Mart,TÜSİAR,2.462,451.0,372.0,41.0,,42.0,,78.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,25-27 Mart,ORC,3.42,515.0,362.0,39.0,,17.0,,153.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-26 Mart,ALF,3.85,554.0,351.0,31.0,,64.0,,203.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-26 Mart,ASAL,2.5,544.0,338.0,32.0,,22.0,,206.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,23-26 Mart,AREA,3.009,601.0,305.0,34.0,,4.0,,296.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,15-26 Mart,ADA,1.5,565.0,334.0,23.0,,23.0,,231.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,503.0,397.0,,,10.0,,106.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,22-25 Mart,ADAMOR,2.593,551.0,327.0,37.0,,11.0,,224.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,3.608,47.0,429.0,19.0,,6.0,,41.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,20-25 Mart,SAROS,4.047,472.0,391.0,49.0,,53.0,,81.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,17-19 Mart,KODAR,6.321,54.0,39.0,14.0,,32.0,,15.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,10-15 Mart,AREA,4.405,591.0,303.0,42.0,,4.0,,288.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21 Şub-3 Mar,MAK,4.3,44.0,38.0,3.0,,30.0,,6.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Şubat,ALF,2.7,414.0,375.0,64.0,,41.0,,39.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,7-14 Şubat,Özdemir,2.5,624.0,302.0,12.0,,11.0,,322.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Şubat,HBS,2.18,403.0,352.0,61.0,,3.0,,51.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,8-9 Şubat,AREA,1.546,54.0,401.0,17.0,,7.0,,139.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,24-26 Ocak,ORC,3.8,437.0,409.0,52.0,,32.0,,28.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,22-23 Ocak,AREA,2.006,57.0,401.0,,,29.0,,169.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Ocak,HBS,2.1,368.0,343.0,61.0,,51.0,,25.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,14-18 Temmuz,ASAL,2.074,323.0,337.0,81.0,,190.0,,14.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,2023,2023,2023.0,2023.0,2023.0,2023.0,,2023.0,,2023.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,,509.0,471.0,,,18.0,,38.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,25-26 Mart,ORC,1.05,,,,,85.0,,24.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,31.654,,,,,38.0,,4.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,SONAR,2.674,,,56.0,,51.0,,26.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,332.548,,,,,42.0,,18.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,Mart,HBS,2.5,,,,,55.0,,57.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,75.782,,,,,42.0,,151.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,25-26 Mart,ORC,850.0,,,,,71.0,,94.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,9.486,,,,,297.0,,297.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,14-18 Mart,SAROS,3.428,,,,,24.0,,55.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,522.213,,,,,56.0,,328.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,25-26 Mart,ORC,1.45,,,,,73.0,,33.0,
Ankara,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,288.268,,,,,63.0,,415.0,
Çankırı,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-24 Mart,ORC,1.2,,331.0,,,25.0,,202.0,
Çankırı,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,23-25 Şubat,ALF,1.15,,338.0,,,11.0,65.0,126.0,
Çankırı,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,41.849,,382.0,,,17.0,,87.0,
Eskişehir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,28 Mart,BETİMAR,4.08,473.0,381.0,43.0,,64.0,,92.0,
Eskişehir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,25-26 Mart,ORC,1.71,436.0,389.0,89.0,,51.0,,47.0,
Eskişehir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,431.0,405.0,,,164.0,,26.0,
Eskişehir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.686,429.0,401.0,78.0,,63.0,,28.0,
Eskişehir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.5,419.0,443.0,54.0,,42.0,,24.0,
Eskişehir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,10-14 Mart,ASAL,1.64,425.0,406.0,59.0,,62.0,,19.0,
Eskişehir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,23 Şub-5 Mart,MAK,1.38,42.0,43.0,3.0,,50.0,5.0,1.0,
Eskişehir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,11-12 Ocak,Ank-ar,2.674,368.0,393.0,169.0,,42.0,,25.0,
Eskişehir,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,31 Mart 2019,Yerel seçimler,546.269,523.0,451.0,,,26.0,,72.0,
Kayseri,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,12-26 Mart,Avrasya,,,,,,218.0,,30.0,
Kayseri,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Mart,Areda Survey,2.676,,,,,87.0,,356.0,
Kayseri,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,1-15 Mart,ADA,1.5,,,,,98.0,,372.0,
Kayseri,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21 Şub-5 Mar,MAK,1.03,,,,,55.0,5.0,44.0,
Kayseri,https://tr.wikipedia.org/wiki/2024_Türkiye_yerel_seçimleri_için_yapılan_anketler,21-25 Şubat,ALF,2.0,,,,,55.0,137.0,414.0,
